0;Ausbessern;Verwandlungsmagie Zaubertrick;1 min;Berührung;V, G, M;Unmittelbar;(2 Magnetsteine) Repariert eine Bruchstelle oder einen Riss in einem Gegenstand, den du berührst.<br>Solange der Riss oder die Bruchstelle in keiner Dimension größer als 9 cm ist, bleibt keine Spur des vorherigen Schadens übrig.<br>Stellt nur die physische Form wieder her, nicht die Magie, die im Gegenstand war.;<Herkunft>;
0;Befall;Beschwörung Zaubertrick;1 Aktion;9 m;V, G, M;Unmittelbar;(eine lebende Fliege) Eine Wolke aus Fliegen, Milben und anderen Parasiten erscheint auf einer Kreatur in Reichweite, die du sehen kannst.<br>Das Ziel muss einen CON-Rettungswurf machen.<br>Bei Fehlschlag: 1W6 Giftschaden und es bewegt sich 1,5 m in eine zufällige Richtung (1W4: 1-Norden, 2-Süden, 3-Osten, 4-Westen), wenn es sich bewegen kann und der Weg frei ist. Die Bewegung provoziert keine Gelegenheitsangriffe.;<Herkunft>;
0;Blitzköder;Hervorrufung Zaubertrick;1 Aktion;4,5 m;V;Unmittelbar;Du erschaffst einen Blitz aus Energie, der eine Kreatur deiner Wahl trifft, die du innerhalb der Reichweite sehen kannst.<br>Dem Ziel muss ein STR-Rettungswurf gelingen oder es wird bis zu 3 m in einer geraden Linie auf dich zugezogen und erleidet dann 1W8 Blitzschaden, wenn es sich innerhalb von 1,5 m von dir befindet.<br><br><b>Auf höheren Level:</b> Schaden steigt um je 1W8 auf Level 5, 11 und 17.;<Herkunft>;
0;Botschaft;Verwandlungsmagie Zaubertrick;1 Aktion;36 m;V, G, M;1 Runde (6 s) / 1 h;(1 kurzes Stück Kupferdraht) Du deutest mit dem Finger auf eine Kreatur in Reichweite und flüsterst eine Botschaft. Nur das Ziel hört die Botschaft und kann in einem Flüstern antworten, das nur du hören kannst.<br>Wirkt durch feste Gegenstände, wenn du das Ziel kennst und weißt, dass es jenseits der Barriere ist. Muss keiner geraden Linie folgen.<br>Außerhalb eines Kampfes hält das für 1 h und im Kampf für 1 Runde.<br>Blockiert durch: Magische Stille, 9 cm Stein, 1,5 m Holz, eine dünne Schicht Blei oder gewöhnliches Metall.;<Herkunft>;
0;Donnerschlag;Hervorrufung Zaubertrick;1 Aktion;1,5 m;G;Unmittelbar;Du erzeugst einen donnernden Klang, der 9 m weit zu hören ist.<br>Jede Kreatur, außer dir, die sich im Umkreis von 1,5 m um dich befindet, muss einen CON-Rettungswurf machen.<br>Bei Fehlschlag: 1W6 Donnerschaden.<br><br><b>Auf höheren Level:</b> Schaden steigt um je 1W6 auf Level 5, 11 und 17.;<Herkunft>;
0;Dornenpeitsche;Verwandlungsmagie Zaubertrick;1 Aktion;9 m;V, G, M;Unmittelbar;(der Stamm einer Pflanze mit Dornen) Du erschaffst eine lange, rankenartige mit Dornen bedeckte Peitsche, die auf deinen Befehl hin nach einer Kreatur in Reichweite schlägt.<br>Führe einen Nahkampf-Zauberangriff gegen das Ziel durch.<br>Bei Treffer: 1W6 Stichschaden und wenn es sich um eine große oder kleinere Kreatur handelt, wird sie 3 m auf dich zu gezogen.<br><br><b>Auf höheren Level:</b> Schaden steigt um je 1W6 auf Level 5, 11 und 17.;<Herkunft>;
0;Dröhnende Klinge;Hervorrufung Zaubertrick;1 Aktion;Selbst (1,5 m Sphäre);G, M;1 Runde (6 s);(eine Nahkampfwaffe im Wert von mindestens 1 SM) Du schwingst die Waffe, mit der der Zauber gewirkt wurde, und führst mit ihr einen Nahkampfangriff gegen eine Kreatur im Umkreis von 1,5 m um dich herum aus.<br>Bei Treffer: normale Waffeneffekte und es wird dann bis zum Beginn deines nächsten Zuges von dröhnender Energie umhüllt. Wenn sich das Ziel bis dahin freiwillig 1,5 m oder mehr bewegt, erleidet das Ziel 1W8 Donnerschaden und der Zauber endet.<br><br><b>Auf höheren Level:</b> Auf Level 5 fügt der Nahkampfangriff zusätzlich 1W8 Donnerschaden zu, und der Schaden, den das Ziel bei einer Bewegung erleidet, erhöht sich auf 2W8. Beide Schadenswürfe erhöhen sich um je 1W8 auf Level 11 und 17.;<Herkunft>;
0;Druidenkunst;Verwandlungsmagie Zaubertrick;1 Aktion;9 m;V, G;Unmittelbar;Mit den Geistern der Natur erzeugst du einen der folgenden magischen Effekte in Reichweite:<br><br>* Du erschaffst einen winzigen, harmlosen sensorischen Effekt, der für die nächsten 24 h das Wetter für deinen Ort vorhersagt (Gold = wolkenlos, Wolke = Regen, Schneeflocke = Schnee, oder ähnlich), erscheint für 1 Runde.<br><br>* Eine Blume erblüht, eine Samenkapsel öffnet sich oder eine Blattknospe blüht auf.<br><br>* Du entzündest oder löschst unmittelbar eine Kerze, Fackel oder ein kleines Lagerfeuer.<br><br>* Du erzeugst einen unmittelbaren, harmlosen sensorischen Effekt (fallende Blätter, Windhauch, …), dieser muss in einen 1,5 m Würfel passen.;<Herkunft>;
0;Einfache Illusion;Illusionsmagie Zaubertrick;1 Aktion;9 m;G, M;1 min;(Vlies) Du erschaffst ein langes oder mehrere kurze Geräusche oder ein Abbild eines Gegenstandes (ohne physische Interagierbarkeit und nicht größer als 1,5 m) in Reichweite für die Wirkungsdauer.<br>Eine Kreatur kann einen Nachforschung-Wurf gegen dein Zauberrettung-SG ausführen. Wird die Illusion erkannt verblasst diese ein wenig.;<Herkunft>;
0;Erde formen;Verwandlungsmagie Zaubertrick;1 Aktion;9 m;G;Unmittelbar / 1 h;Wähle ein Stück Erde oder Stein in Reichweite, das nicht größer als ein 1,5 m Würfel ist und manipuliere es wie folgt:<br><br> * Lose Erde ausheben und bis zu 1,5 m bewegen. Sie verursacht keinen Schaden beim Ablegen.<br><br> * Formen und / oder Farben erscheinen für 1 h auf Steinen oder Erde. Sie sind zu Wörtern, Mustern oder Bildern manipulierbar.<br><br> * Boden ist aus Erde oder Stein: Normales Terrain verwandelt sich für 1 h zu Schwierigen oder Schwieriges Terrain zu Normalen.<br><br>Du kannst nicht mehr als 2 der Effekte gleichzeitig aufrecht erhalten. Sie sind als Aktion aufhebbar.;<Herkunft>;
